"freq","nrg_bal","siec","unit","geo","time","values"
"A","PPRD","TOTAL","GWH","FR",1990-01-01,1285560.021
"A","PPRD","TOTAL","GWH","FR",1991-01-01,1363346.906
"A","PPRD","TOTAL","GWH","FR",1992-01-01,1381752.572
"A","PPRD","TOTAL","GWH","FR",1993-01-01,1455634.742
"A","PPRD","TOTAL","GWH","FR",1994-01-01,1423610.296
"A","PPRD","TOTAL","GWH","FR",1995-01-01,1463482.271
"A","PPRD","TOTAL","GWH","FR",1996-01-01,1516783.783
"A","PPRD","TOTAL","GWH","FR",1997-01-01,1480471.634
"A","PPRD","TOTAL","GWH","FR",1998-01-01,1442267.504
"A","PPRD","TOTAL","GWH","FR",1999-01-01,1461471.194
"A","PPRD","TOTAL","GWH","FR",2000-01-01,1501713.012
"A","PPRD","TOTAL","GWH","FR",2001-01-01,1517986.175
"A","PPRD","TOTAL","GWH","FR",2002-01-01,1541253.807
"A","PPRD","TOTAL","GWH","FR",2003-01-01,1560856.977
"A","PPRD","TOTAL","GWH","FR",2004-01-01,1574711.643
"A","PPRD","TOTAL","GWH","FR",2005-01-01,1579290.24
"A","PPRD","TOTAL","GWH","FR",2006-01-01,1571488.079
"A","PPRD","TOTAL","GWH","FR",2007-01-01,1553048.39
"A","PPRD","TOTAL","GWH","FR",2008-01-01,1581115.66
"A","PPRD","TOTAL","GWH","FR",2009-01-01,1509192.883
"A","PPRD","TOTAL","GWH","FR",2010-01-01,1590251.273
"A","PPRD","TOTAL","GWH","FR",2011-01-01,1601041.009
"A","PPRD","TOTAL","GWH","FR",2012-01-01,1591560.827
"A","PPRD","TOTAL","GWH","FR",2013-01-01,1614101.402
"A","PPRD","TOTAL","GWH","FR",2014-01-01,1625777.642
"A","PPRD","TOTAL","GWH","FR",2015-01-01,1640855.528
"A","PPRD","TOTAL","GWH","FR",2016-01-01,1556076.539
"A","PPRD","TOTAL","GWH","FR",2017-01-01,1532462.317
"A","PPRD","TOTAL","GWH","FR",2018-01-01,1602353.481
"A","PPRD","TOTAL","GWH","FR",2019-01-01,1564682.824
"A","PPRD","TOTAL","GWH","FR",2020-01-01,1427678.261
"A","PPRD","TOTAL","GWH","FR",2021-01-01,1524041.131
"A","PPRD","TOTAL","GWH","FR",2022-01-01,1257494.383
"A","PPRD","TOTAL","GWH","FR",2023-01-01,1420288.082
"A","RCV_RCY","TOTAL","GWH","FR",1990-01-01,5897.267
"A","RCV_RCY","TOTAL","GWH","FR",1991-01-01,6660.247
"A","RCV_RCY","TOTAL","GWH","FR",1992-01-01,6437.814
"A","RCV_RCY","TOTAL","GWH","FR",1993-01-01,3725.172
"A","RCV_RCY","TOTAL","GWH","FR",1994-01-01,4879.147
"A","RCV_RCY","TOTAL","GWH","FR",1995-01-01,11502.175
"A","RCV_RCY","TOTAL","GWH","FR",1996-01-01,3926.303
"A","RCV_RCY","TOTAL","GWH","FR",1997-01-01,4476.447
"A","RCV_RCY","TOTAL","GWH","FR",1998-01-01,4548.167
"A","RCV_RCY","TOTAL","GWH","FR",1999-01-01,5162.056
"A","RCV_RCY","TOTAL","GWH","FR",2000-01-01,5405.556
"A","RCV_RCY","TOTAL","GWH","FR",2001-01-01,3575.778
"A","RCV_RCY","TOTAL","GWH","FR",2002-01-01,4055.556
"A","RCV_RCY","TOTAL","GWH","FR",2003-01-01,4666.981
"A","RCV_RCY","TOTAL","GWH","FR",2004-01-01,6310.265
"A","RCV_RCY","TOTAL","GWH","FR",2005-01-01,5450.091
"A","RCV_RCY","TOTAL","GWH","FR",2006-01-01,4076.029
"A","RCV_RCY","TOTAL","GWH","FR",2007-01-01,3790.304
"A","RCV_RCY","TOTAL","GWH","FR",2008-01-01,2686.413
"A","RCV_RCY","TOTAL","GWH","FR",2009-01-01,1690.3
"A","RCV_RCY","TOTAL","GWH","FR",2010-01-01,2479.021
"A","RCV_RCY","TOTAL","GWH","FR",2011-01-01,1624.575
"A","RCV_RCY","TOTAL","GWH","FR",2012-01-01,2860.861
"A","RCV_RCY","TOTAL","GWH","FR",2013-01-01,3319.541
"A","RCV_RCY","TOTAL","GWH","FR",2014-01-01,3099.536
"A","RCV_RCY","TOTAL","GWH","FR",2015-01-01,1069.541
"A","RCV_RCY","TOTAL","GWH","FR",2016-01-01,836.53
"A","RCV_RCY","TOTAL","GWH","FR",2017-01-01,1111.707
"A","RCV_RCY","TOTAL","GWH","FR",2018-01-01,1145.319
"A","RCV_RCY","TOTAL","GWH","FR",2019-01-01,1088.483
"A","RCV_RCY","TOTAL","GWH","FR",2020-01-01,916.811
"A","RCV_RCY","TOTAL","GWH","FR",2021-01-01,1460.568
"A","RCV_RCY","TOTAL","GWH","FR",2022-01-01,1390.582
"A","RCV_RCY","TOTAL","GWH","FR",2023-01-01,1384.654
"A","IMP","TOTAL","GWH","FR",1990-01-01,1622845.275
"A","IMP","TOTAL","GWH","FR",1991-01-01,1709497.383
"A","IMP","TOTAL","GWH","FR",1992-01-01,1683516.619
"A","IMP","TOTAL","GWH","FR",1993-01-01,1616112.659
"A","IMP","TOTAL","GWH","FR",1994-01-01,1573877.538
"A","IMP","TOTAL","GWH","FR",1995-01-01,1613315.556
"A","IMP","TOTAL","GWH","FR",1996-01-01,1737858.48
"A","IMP","TOTAL","GWH","FR",1997-01-01,1729773.245
"A","IMP","TOTAL","GWH","FR",1998-01-01,1841969.954
"A","IMP","TOTAL","GWH","FR",1999-01-01,1836714.83
"A","IMP","TOTAL","GWH","FR",2000-01-01,1896102.846
"A","IMP","TOTAL","GWH","FR",2001-01-01,1885524.76
"A","IMP","TOTAL","GWH","FR",2002-01-01,1900039.964
"A","IMP","TOTAL","GWH","FR",2003-01-01,1966529.633
"A","IMP","TOTAL","GWH","FR",2004-01-01,2019743.547
"A","IMP","TOTAL","GWH","FR",2005-01-01,2089455.646
"A","IMP","TOTAL","GWH","FR",2006-01-01,2063934.383
"A","IMP","TOTAL","GWH","FR",2007-01-01,1993627.701
"A","IMP","TOTAL","GWH","FR",2008-01-01,2064522.62
"A","IMP","TOTAL","GWH","FR",2009-01-01,1928356.065
"A","IMP","TOTAL","GWH","FR",2010-01-01,1893079.61
"A","IMP","TOTAL","GWH","FR",2011-01-01,1916287.182
"A","IMP","TOTAL","GWH","FR",2012-01-01,1856726.16
"A","IMP","TOTAL","GWH","FR",2013-01-01,1840857.526
"A","IMP","TOTAL","GWH","FR",2014-01-01,1739496.385
"A","IMP","TOTAL","GWH","FR",2015-01-01,1764541.988
"A","IMP","TOTAL","GWH","FR",2016-01-01,1746828.396
"A","IMP","TOTAL","GWH","FR",2017-01-01,1810666.459
"A","IMP","TOTAL","GWH","FR",2018-01-01,1758436.937
"A","IMP","TOTAL","GWH","FR",2019-01-01,1782771.353
"A","IMP","TOTAL","GWH","FR",2020-01-01,1468007.493
"A","IMP","TOTAL","GWH","FR",2021-01-01,1528658.171
