"freq","unit","na_item","geo","time","values"
"A","CP_MEUR","B1GQ","EA19",1975-01-01,NA
"A","CP_MEUR","B1GQ","EA19",1976-01-01,NA
"A","CP_MEUR","B1GQ","EA19",1977-01-01,NA
"A","CP_MEUR","B1GQ","EA19",1978-01-01,NA
"A","CP_MEUR","B1GQ","EA19",1979-01-01,NA
"A","CP_MEUR","B1GQ","EA19",1980-01-01,NA
"A","CP_MEUR","B1GQ","EA19",1981-01-01,NA
"A","CP_MEUR","B1GQ","EA19",1982-01-01,NA
"A","CP_MEUR","B1GQ","EA19",1983-01-01,NA
"A","CP_MEUR","B1GQ","EA19",1984-01-01,NA
"A","CP_MEUR","B1GQ","EA19",1985-01-01,NA
"A","CP_MEUR","B1GQ","EA19",1986-01-01,NA
"A","CP_MEUR","B1GQ","EA19",1987-01-01,NA
"A","CP_MEUR","B1GQ","EA19",1988-01-01,NA
"A","CP_MEUR","B1GQ","EA19",1989-01-01,NA
"A","CP_MEUR","B1GQ","EA19",1990-01-01,NA
"A","CP_MEUR","B1GQ","EA19",1991-01-01,NA
"A","CP_MEUR","B1GQ","EA19",1992-01-01,NA
"A","CP_MEUR","B1GQ","EA19",1993-01-01,NA
"A","CP_MEUR","B1GQ","EA19",1994-01-01,NA
"A","CP_MEUR","B1GQ","EA19",1995-01-01,5744018.5
"A","CP_MEUR","B1GQ","EA19",1996-01-01,5987410
"A","CP_MEUR","B1GQ","EA19",1997-01-01,6132692.5
"A","CP_MEUR","B1GQ","EA19",1998-01-01,6381157.6
"A","CP_MEUR","B1GQ","EA19",1999-01-01,6682072
"A","CP_MEUR","B1GQ","EA19",2000-01-01,7036943.9
"A","CP_MEUR","B1GQ","EA19",2001-01-01,7368518.4
"A","CP_MEUR","B1GQ","EA19",2002-01-01,7619737.5
"A","CP_MEUR","B1GQ","EA19",2003-01-01,7844564.2
"A","CP_MEUR","B1GQ","EA19",2004-01-01,8180124.3
"A","CP_MEUR","B1GQ","EA19",2005-01-01,8482932.6
"A","CP_MEUR","B1GQ","EA19",2006-01-01,8940638.5
"A","CP_MEUR","B1GQ","EA19",2007-01-01,9436179.9
"A","CP_MEUR","B1GQ","EA19",2008-01-01,9671413.4
"A","CP_MEUR","B1GQ","EA19",2009-01-01,9335494.8
"A","CP_MEUR","B1GQ","EA19",2010-01-01,9599073.5
"A","CP_MEUR","B1GQ","EA19",2011-01-01,9875054.5
"A","CP_MEUR","B1GQ","EA19",2012-01-01,9906383.5
"A","CP_MEUR","B1GQ","EA19",2013-01-01,10012297.2
"A","CP_MEUR","B1GQ","EA19",2014-01-01,10254052
"A","CP_MEUR","B1GQ","EA19",2015-01-01,10616222.3
"A","CP_MEUR","B1GQ","EA19",2016-01-01,10904868.5
"A","CP_MEUR","B1GQ","EA19",2017-01-01,11318040.7
"A","CP_MEUR","B1GQ","EA19",2018-01-01,11694023.9
"A","CP_MEUR","B1GQ","EA19",2019-01-01,12084516.3
"A","CP_MEUR","B1GQ","EA19",2020-01-01,11565084.6
"A","CP_MEUR","B1GQ","EA19",2021-01-01,12560309.4
"A","CP_MEUR","B1GQ","EA19",2022-01-01,13690316.7
"A","CP_MEUR","B1GQ","EA19",2023-01-01,14584465.5
"A","CP_MEUR","B1GQ","EA19",2024-01-01,15145409.2
