"","AIR.PA.Open","AIR.PA.High","AIR.PA.Low","AIR.PA.Close","AIR.PA.Volume","AIR.PA.Adjusted"
"1",132.580001831055,135.720001220703,132.020004272461,133.520004272461,1254852,124.759399414062
"2",132.179992675781,134.039993286133,131.820007324219,134.039993286133,830258,125.245269775391
"3",132.679992675781,133.820007324219,131.759994506836,133.460006713867,719626,124.703346252441
"4",134,134.380004882812,131.820007324219,132,976037,123.339126586914
"5",131.5,134.919998168945,130.5,134.380004882812,1281161,125.562973022461
"6",135.619995117188,135.880004882812,133.820007324219,134.919998168945,815627,126.067535400391
"7",134.919998168945,135.020004272461,134.080001831055,134.419998168945,649571,125.600341796875
"8",134.399993896484,136.279998779297,134.399993896484,135.119995117188,1024311,126.254417419434
"9",135.119995117188,136,133.139999389648,135.100006103516,1236698,126.235733032227
"10",135.160003662109,136,133.179992675781,134.259994506836,881425,125.45085144043
"11",134.199996948242,135.619995117188,133.300003051758,133.399993896484,912337,124.647270202637
"12",134.479995727539,137.199996948242,134.479995727539,136.779998779297,1061143,127.805503845215
"13",136.800003051758,138.259994506836,136.179992675781,137.899993896484,706794,128.852020263672
"14",137,137,135.919998168945,136.399993896484,817707,127.450416564941
"15",137.399993896484,139.320007324219,137.139999389648,137.979995727539,1191568,128.9267578125
"16",138,138.139999389648,135.619995117188,135.800003051758,985427,126.889808654785
"17",137.179992675781,139.399993896484,137.100006103516,139,1462261,129.879837036133
"18",135.020004272461,137.279998779297,132.839996337891,132.899993896484,1804728,124.180068969727
"19",136,136.899993896484,133.720001220703,134.240005493164,1433803,125.432167053223
"20",134.679992675781,136.979995727539,133.839996337891,136.559997558594,1045204,127.59992980957
"21",134.720001220703,135.479995727539,133.539993286133,134.5,1090153,125.675094604492
"22",135.080001831055,136.179992675781,133.179992675781,133.240005493164,1207948,124.497779846191
"23",133.639999389648,134.080001831055,132.960006713867,133.679992675781,753424,124.908889770508
"24",134.580001831055,138,134,138,1125014,128.945449829102
"25",137.320007324219,138.460006713867,136.160003662109,136.880004882812,1471991,127.898941040039
"26",137.660003662109,137.839996337891,136.360000610352,137,840490,128.01106262207
"27",137.020004272461,137.919998168945,136.380004882812,136.779998779297,905844,127.805503845215
"28",136.100006103516,137.639999389648,136.080001831055,136.619995117188,668866,127.655990600586
"29",138,138.779998779297,136.899993896484,138,976754,128.945449829102
"30",138.479995727539,138.979995727539,136.199996948242,136.600006103516,1323454,127.637313842773
"31",134,138.300003051758,130.759994506836,132.800003051758,2023142,124.086639404297
"32",133.399993896484,133.820007324219,129.759994506836,129.860000610352,1759988,121.339530944824
"33",129,130.979995727539,127.059997558594,130.979995727539,1239666,122.386047363281
"34",130.5,132.059997558594,130.059997558594,130.259994506836,1225040,121.71329498291
"35",130.759994506836,131.919998168945,130.179992675781,131.800003051758,1221803,123.152252197266
"36",131.300003051758,133.679992675781,131.259994506836,131.779998779297,1095571,123.133560180664
"37",131.240005493164,132.199996948242,129.600006103516,130.839996337891,1237311,122.255241394043
"38",126.76000213623,127.360000610352,124.040000915527,124.379997253418,2631098,116.219100952148
"39",125.559997558594,126.319999694824,123.519996643066,123.540000915527,2168881,115.434211730957
"40",122.400001525879,122.519996643066,117.699996948242,120.559997558594,2641213,112.64973449707
"41",117.559997558594,117.839996337891,113.059997558594,115,3604297,107.454536437988
"42",108.059997558594,112.120002746582,105.639999389648,108.099998474121,5697178,101.007270812988
"43",110,111.919998168945,103.360000610352,107.620002746582,4352851,100.558769226074
"44",109.580001831055,114.459999084473,108.639999389648,112.120002746582,4116304,104.763511657715
"45",112.120002746582,112.5,109.940002441406,110.959999084473,2046426,103.679618835449
"46",110.879997253418,111.5,105.800003051758,107.720001220703,2689493,100.652214050293
"47",103.900001525879,104.980003356934,99.5,99.5,4273436,92.9715423583984
"48",89.3000030517578,95.4599990844727,87.0100021362305,89.9899978637695,6098900,84.0855102539062
