"","OR.PA.Open","OR.PA.High","OR.PA.Low","OR.PA.Close","OR.PA.Volume","OR.PA.Adjusted"
"1",264.200012207031,266.700012207031,263.200012207031,264.200012207031,351300,242.358551025391
"2",260.899993896484,263.899993896484,260.600006103516,263.899993896484,292884,242.083312988281
"3",261.299987792969,263.100006103516,258.799987792969,263,367820,241.257797241211
"4",264,264.399993896484,258.899993896484,259.600006103516,508141,238.138854980469
"5",260.100006103516,261.200012207031,257.799987792969,261.200012207031,431996,239.606567382812
"6",262.200012207031,263.899993896484,262,262.799987792969,366260,241.074279785156
"7",263.799987792969,264.799987792969,262.700012207031,263.899993896484,235734,242.083312988281
"8",263.100006103516,264.399993896484,261.299987792969,262.5,340000,240.799102783203
"9",262.399993896484,263.799987792969,259.5,263.799987792969,432947,241.991607666016
"10",264,269.799987792969,263.700012207031,269.399993896484,523590,247.128646850586
"11",269.600006103516,270.200012207031,267.899993896484,269.799987792969,338818,247.495590209961
"12",270.100006103516,276.200012207031,269.5,275.299987792969,606223,252.540908813477
"13",273.399993896484,274.899993896484,272.700012207031,274.299987792969,260757,251.623580932617
"14",271.100006103516,272,267.399993896484,270.700012207031,482696,248.321197509766
"15",271.799987792969,272.600006103516,268.700012207031,269,339921,246.761734008789
"16",268,268.799987792969,266.299987792969,267,459218,244.927093505859
"17",269,272.600006103516,268.299987792969,270.5,434682,248.137725830078
"18",265.100006103516,265.100006103516,257.399993896484,258,847898,236.671096801758
"19",259.5,261.700012207031,256.600006103516,261.600006103516,574573,239.973510742188
"20",261,264,260.5,262.299987792969,432653,240.615615844727
"21",261,261.899993896484,258,259.600006103516,506603,238.138854980469
"22",259,260.700012207031,251.899993896484,251.899993896484,902073,231.075408935547
"23",252.300003051758,257.299987792969,252.300003051758,255,532868,233.91911315918
"24",256.799987792969,261.899993896484,256.799987792969,261.5,589807,239.881744384766
"25",259.799987792969,264.200012207031,258.899993896484,263.100006103516,623040,241.349502563477
"26",265,268.399993896484,259.700012207031,267.799987792969,686400,245.660949707031
"27",275,278.5,267.799987792969,270.700012207031,659548,248.321197509766
"28",270.5,271.200012207031,267.399993896484,270.799987792969,461894,248.412933349609
"29",271.700012207031,273.399993896484,270.700012207031,273,414306,250.431015014648
"30",272.799987792969,273.100006103516,269.200012207031,271.100006103516,438842,248.688140869141
